19,1,200,1964,11,0,1,3,0,GET /DVWA/ HTTP/1.1
20,1,200,263,12,0,1,3,0,HEAD /DVWA/ HTTP/1.1
31,1,404,139,12,9,2,4,1,HEAD /DVWA/.git/config HTTP/1.1
36,1,404,139,12,13,3,4,1,HEAD /DVWA/.svn/all-wcprops HTTP/1.1
30,1,404,139,12,7,3,4,1,HEAD /DVWA/.svn/wc.db HTTP/1.1
26,1,404,139,12,4,2,3,1,HEAD /DVWA/~.aspx HTTP/1.1
28,1,404,139,12,6,2,4,1,HEAD /DVWA/cgi-bin/ HTTP/1.1
28,1,404,139,12,6,2,4,1,HEAD /DVWA/cgi-sys/ HTTP/1.1
30,1,404,139,12,9,2,3,1,HEAD /DVWA/config.inc HTTP/1.1
31,1,404,139,16,6,1,4,1,HEAD /DVWA/CVS/Entries HTTP/1.1
32,1,404,139,12,11,2,3,1,HEAD /DVWA/database.inc HTTP/1.1
63,1,404,139,13,18,1,4,1,HEAD /DVWA/Netsparker5813f70393f249298de468dad74c98a4/ HTTP/1.1
31,1,200,286,12,10,2,3,0,HEAD /DVWA/phpinfo.php HTTP/1.1
29,1,404,139,12,8,2,3,1,HEAD /DVWA/trace.axd HTTP/1.1
30,1,404,139,17,3,2,3,1,HEAD /DVWA/WS_FTP.log HTTP/1.1
28,1,200,986,11,8,2,3,0,GET /DVWA/login.php HTTP/1.1
24,1,404,139,12,3,2,3,1,HEAD /DVWA/.env HTTP/1.1
35,1,404,139,12,13,3,3,1,HEAD /DVWA/.production.env HTTP/1.1
24,1,404,139,12,3,1,4,1,HEAD /DVWA/adm/ HTTP/1.1
29,1,404,139,12,8,2,3,1,HEAD /DVWA/admin.asp HTTP/1.1
30,1,404,139,12,9,2,3,1,HEAD /DVWA/admin.aspx HTTP/1.1
30,1,404,139,12,9,2,3,1,HEAD /DVWA/admin.conf HTTP/1.1
29,1,404,139,12,8,2,3,1,HEAD /DVWA/admin.htm HTTP/1.1
30,1,404,139,12,9,2,3,1,HEAD /DVWA/admin.html HTTP/1.1
29,1,404,139,12,8,2,3,1,HEAD /DVWA/admin.jsp HTTP/1.1
29,1,404,139,12,8,2,3,1,HEAD /DVWA/admin.php HTTP/1.1
28,1,404,139,12,7,2,3,1,HEAD /DVWA/admin.pl HTTP/1.1
29,1,404,139,12,8,2,3,1,HEAD /DVWA/admin.txt HTTP/1.1
26,1,404,139,12,5,1,4,1,HEAD /DVWA/admin/ HTTP/1.1
27,1,404,139,12,5,1,4,1,HEAD /DVWA/admin_/ HTTP/1.1
32,1,404,139,12,10,1,4,1,HEAD /DVWA/admin_files/ HTTP/1.1
27,1,404,139,12,5,1,4,1,HEAD /DVWA/admin1/ HTTP/1.1
31,1,404,139,12,10,1,4,1,HEAD /DVWA/adminadmin/ HTTP/1.1
35,1,404,139,12,14,1,4,1,HEAD /DVWA/administration/ HTTP/1.1
34,1,404,139,12,13,1,4,1,HEAD /DVWA/administrator/ HTTP/1.1
31,1,404,139,12,10,2,3,1,HEAD /DVWA/apache.conf HTTP/1.1
